date,series_name,value
04/10/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
11/10/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
18/10/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
25/10/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
01/11/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
08/11/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
15/11/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
22/11/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
29/11/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
06/12/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
13/12/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
